
id_bubble_curso; ativo; breve_descricao; video_id; carga_horaria; descricao; gerar_certificado; gratis; imagem; ordenacao; nome;  firebase_url
1645563746652x524055920726507500;sim;Treinamento Completo de Cálculos Trabalhistas usando Pje-Calc;;60;O ATO CSJT.GP.SG Nº 146/2020, que alterou a Resolução CSJT nº 185, de março de 2017, tornou obrigatório o uso do PJe-Calc nos cálculos apresentados por usuários internos e peritos.  Se você quer se tornar Expert em Cálculos Trabalhistas usando a Ferramenta Oficial da Justiça do Trabalho este Treinamento é pra você!   Com uso de técnicas avançadas de cálculos trabalhistas você irá otimizar o seu trabalho no sistema PJe Calc.  Mesmo que você nunca tenha acessado o sistema, terá todas as condições de Aprender, passo-a-passo, no seu ritmo, e Desenvolver Cálculos Trabalhistas Otimizados.  Ministrado integralmente pelo professor Vicelmo Alencar.  Graduado em Letras e Direito e especialista em Processo do Trabalho, desenvolvendo cálculos trabalhistas desde o ano de 2005, professor da disciplina de cálculos trabalhistas em cursos de especialização além de lecionar nas Escolas Judiciais do TRT da 19ª e 21ª Região.  ;sim;não;;5; PJECALCPLUS;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fpjecalc%202022(540)?alt=media&token=a17fbec8-9e83-423e-bca6-dfaddaf1aa5c;;sim
1645962986798x381889307960410100;sim;Vídeos rápidos sobre cálculos trabalhistas.;;;Mantenha-se atualizado com esses vídeos rápidos e atuais sobre cálculos trabalhistas;não;não;;10;VIDEO CAST;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fvideocast(251)?alt=media&token=4e74cd0e-2a7f-4e53-b05b-1b5e2342f736;;sim
1646044873658x960675358856183800;sim;Este curso funciona dentro do sistema Pje-Calc. 
;;;
Cada função do sistema possui um link que leva para uma vídeo-aula explicando seu funcionamento.;não;;;14;PJE-CALC LEARN;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fliq%20senten%C3%A7a(129)?alt=media&token=8a3d8d65-4cf2-4f17-a2ba-0fab79b5cca3;;sim
1646046992572x566393863573340160;sim;Curso com 7 aulas simulando um CÁLCULO COMPLEXO.;;;Curso com 7 aulas simulando um CÁLCULO COMPLEXO com a utilização de diversas verbas e outras variáveis.;;;;15;SIMULAÇÃO AVANÇADA;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fliq%20senten%C3%A7a%20(1)(395)?alt=media&token=714df97e-d7a7-4b04-b7ba-b912f90ab82a;;sim
1646057795997x766884242748342300;sim;Curso de Pje-Calc apresentando fundamentos do sistema Pje-Calc.;;;Este curso é indicado, principalmente, para  iniciantes na utilização do sistema Pje-Calc e pode ajudar a nivelar o conhecimento para aqueles que já tem certa experiência com o sistema.;não;;;11; Pje-Calc em 2 horas;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2F2%20horas(598)?alt=media&token=6ad2f7e7-b3fb-4e83-8c6d-4014da714441;;sim
1646058447704x678330914695544800;sim;Ministrado para os servidores do TR24 em FEV/2021. ;;;Esse é um minicurso de Pje Calc e Cálculos Trabalhistas que foi ministrado online pelo professor Vicelmo para os servidores do TR24 em FEVEREIRO DE 2021. ;não;;;13;MINICURSO TRT24;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Ftrt24(325)?alt=media&token=7c30f3e0-0f3c-402b-9017-98034b53f3db;;sim
1646058628599x266617345668546560;sim;Ministrado na Escola Judicial do TRT 21 em FEV/20;11;;O conteúdo das aulas demonstram o básico no Pje-Calc, atualizações de cálculo, atualizações legislativas, atualizações do sistema Pje-Calc e aplicações práticas.;não;;;;MINICURSO TRT21;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fliq%20senten%C3%A7a%20(2)(539)?alt=media&token=99176d7b-e376-4e57-b986-4dae3563fcd5;;sim
1646058664823x651857855931482100;sim;Gravação – Imersão em Cálculos Trabalhistas com Pjecalc;;20;Gravação – Imersão em Cálculos Trabalhistas com Pjecalc (Ao vivo dias 03, 04, 05 e 06 de novembro);sim;;;8;IMERSAO NOV/2021;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fimers%C3%A3o(786)?alt=media&token=e7ce4ead-3aaa-4c4f-838c-33fcbca89d42;;sim
